LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMEN,ADDRESS,ADDRID,X,Y,DESCRIPTIO
ABRA-080135,Little Ethiopia Restaurant,"Feker Sound, Inc.",C,"Entertainment,",1924 9TH STREET NW,239490.00000000,397902.36000000,138713.95000000,Restaurant
ABRA-082699,The Reserve,H & L HOSPITALITY LLC,C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",1426 L STREET NW,218272.00000000,397039.66000000,137303.05000000,Restaurant
ABRA-083214,Izumi Yoshimoto,,C,None,1039 33RD STREET NW,275714.00000000,394286.31000000,137428.76000000,Restaurant
ABRA-083910,Slaviya,"Thalia, LLC",C,"Sidewalk Cafe, Entertainment, Cover Charge",2424 18TH STREET NW,226340.00000000,396299.65000000,139278.89000000,Restaurant
ABRA-085003,Zenobia Lounge,"American Arab Communication & Translation Center, LLC",C,None,1025 31ST STREET NW,276427.00000000,394712.33000000,137278.55000000,Restaurant
ABRA-085236,Lautrec's,,C,"Sidewalk Cafe, Entertainment,",2431 18TH STREET NW,235605.00000000,396363.39000000,139273.84000000,Restaurant
ABRA-086083,Legends,"Cadence, LLC",C,None,1836 COLUMBIA ROAD NW,243145.00000000,396256.29000000,139311.70000000,Restaurant
ABRA-086911,Morso Restaurant,Sami Chway & Sleiman Kysia,C,None,3277 M STREET NW,285541.00000000,394333.27000000,137492.60000000,Restaurant
ABRA-087961,Roadside Cafe,"PTC, Inc.",C,"Summer Garden, Entertainment,",2101 BENNING ROAD NE,286618.00000000,402258.34000000,136699.97000000,Restaurant
ABRA-000523,The Rhino-bar & Pumphouse,"Woodward Bros., Inc.",C,"Entertainment, Dancing, Cover Charge",3295 M STREET NW,276122.00000000,394287.84000000,137496.07000000,Tavern
ABRA-000559,Tune Inn Restaurant,Tune Inn Inc.,C,"Sidewalk Cafe,",331 PENNSYLVANIA AVENUE SE,278369.00000000,399905.46000000,135392.13000000,Tavern
ABRA-000604,Third Edition/The Taqueria,1218 Wisconsin Incorporated,C,"Summer Garden, Entertainment, Dancing, Cover Charge",1218 WISCONSIN AVENUE NW,276964.00000000,394533.52000000,137538.17000000,Tavern
ABRA-000755,The Bottom Line,CRV Corporation,C,"Sidewalk Cafe, Entertainment,",1716 I STREET NW,279328.00000000,396510.05000000,137022.64000000,Tavern
ABRA-000869,Charlies,The New 7307 Inc,C,None,7307 GEORGIA AVENUE NW,254737.00000000,397731.82000000,145631.19000000,Tavern
ABRA-000909,Omega,Executive Inn Inc,C,"Entertainment, Cover Charge",2123 TWINING COURT NW,279551.00000000,395876.49000000,137926.98000000,Tavern
ABRA-000927,Chadwick's,Chowder House Incorporated,C,None,3205 K STREET NW,277271.00000000,394525.50000000,137217.76000000,Tavern
ABRA-000939,Kellys Irish Times,"Jim Dolan's, Inc.",C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",14 F STREET NW,294990.00000000,399151.38000000,136575.37000000,Tavern
ABRA-000964,Hawk 'N Dove,L & L Inc,C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",329 PENNSYLVANIA AVENUE SE,301328.00000000,399900.19000000,135395.43000000,Tavern
ABRA-000985,Hitching Post Restaurant,Alvin D. Carter,C,None,200 UPSHUR STREET NW,284155.00000000,398805.97000000,141572.72000000,Tavern
ABRA-001200,Phase I,Allen J. Carroll,C,"Entertainment, Dancing, Cover Charge",525 8TH STREET SE,11125.00000000,400408.69000000,134903.17000000,Tavern
ABRA-001330,The Dubliner,Dubliner Inc,C,"Sidewalk Cafe, Entertainment,",4 F STREET NW,302297.00000000,399174.30000000,136592.73000000,Tavern
ABRA-005864,Raven Grill,Murray C Warren Inc,C,None,3125 MOUNT PLEASANT STREET NW,236407.00000000,396766.15000000,140169.91000000,Tavern
ABRA-009267,Jr's Bar and Grill,TCR Inc,C,"Entertainment, Cover Charge",1519 17TH STREET NW,225669.00000000,396687.06000000,138068.60000000,Tavern
ABRA-009870,The Occidental,Pershing Associates A DC Limited Partnership,C,"Sidewalk Cafe, Entertainment,",1475 PENNSYLVANIA AVENUE NW,302197.00000000,397153.60000000,136553.46000000,Tavern
ABRA-011277,Bachelor's Mill/Back Door Pub,Backdoor Inc.,C,"Entertainment, Dancing, Cover Charge",1104 8TH STREET SE,285834.00000000,400455.72000000,134371.92000000,Tavern
ABRA-013327,Center Cafe,Ark DC Kiosk Inc,C,None,50 MASSACHUSETTS AVENUE NE,293243.00000000,399463.98000000,136632.07000000,Tavern
ABRA-013377,Uno Chicago Grill,"Pizzeria Uno of Union Station, Inc.",C,None,50 MASSACHUSETTS AVENUE NE,293243.00000000,399463.98000000,136632.07000000,Tavern
ABRA-014272,Rendezvous Lounge,"Cafe Dallul, Inc.",C,"Sidewalk Cafe, Entertainment,",2226 18TH STREET NW,235470.00000000,396368.30000000,139068.53000000,Tavern
ABRA-014419,The Fireplace,"The Fireplace Restaurant, Inc.",C,"Entertainment, Cover Charge",2161 P STREET NW,225946.00000000,395785.10000000,137997.66000000,Tavern
ABRA-014759,Chuck & Bill Bison Lounge,2718 Corporation,C,"Entertainment, Dancing, Cover Charge",2718 GEORGIA AVENUE NW,232475.00000000,397991.80000000,139751.30000000,Tavern
ABRA-016642,The Improvisation,"PMF, Inc.",C,"Entertainment, Cover Charge",1140 CONNECTICUT AVENUE NW,278880.00000000,396431.45000000,137459.78000000,Tavern
ABRA-016698,The Cafe At The Corcoran,The Trustees of the Corcoran Gallery of Art,C,"Entertainment,",500 17TH STREET NW,279802.00000000,396552.56000000,136445.00000000,Tavern
ABRA-016838,Capital City Brewing Company,"Capitol City Brewing Company, LLC",C,"Brewpub,",1100 NEW YORK AVENUE NW,297684.00000000,397619.45000000,136979.92000000,Tavern
ABRA-017940,Chief Ike's Mambo Room,Krakatoa Inc,C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",1723 COLUMBIA ROAD NW,235939.00000000,396524.38000000,139651.17000000,Tavern
ABRA-019007,Atomic Billiards,Atomic Billards Corporation,C,None,3427 CONNECTICUT AVENUE NW,219257.00000000,394981.35000000,140818.27000000,Tavern
