election_date,anc,last_name,first_name,suffix
1979-11-06,1A01,No candidate,,
1979-11-06,1A02,No candidate,,
1979-11-06,1A03,Williams,Marion C.,
1981-11-03,1A01,No candidate,,
1981-11-03,1A02,Bukowinsky,Roman,
1981-11-03,1A03,No candidate,,
1984-11-06,1A01,King,Aurelia Corbett,
1984-11-06,1A02,Bukowinsky,Roman,
1984-11-06,1A03,No candidate,,
1986-11-04,1A01,No candidate,,
1986-11-04,1A02,Jordan,Joyce F.,
1986-11-04,1A03,McIntire,Elizabeth,
1988-11-08,1A01,King,Aurelia Corbett,
1988-11-08,1A02,Montes,Antonio (Tony),
1988-11-08,1A03,McIntire,Elizabeth,
1990-11-06,1A01,Jackson,Maurice,
1990-11-06,1A02,Montes,Antonio (Tony),
1990-11-06,1A03,McIntire,Elizabeth,
1992-11-03,1A01,Accra,Pauline,
1992-11-03,1A02,Brown,Vivian E.,
1992-11-03,1A03,McIntire,Elizabeth,
1994-11-08,1A01,Accra,Pauline,
1994-11-08,1A02,Brown,Vivian E.,
1994-11-08,1A03,McIntire,Elizabeth,
1996-11-05,1A01,Johnson,Perry L.,
1996-11-05,1A02,No candidate,,
1996-11-05,1A03,McIntire,Elizabeth,
1998-11-03,1A01,Johnson,DeKontee L.,
1998-11-03,1A02,No candidate,,
1998-11-03,1A03,McIntire,Elizabeth,
2000-11-07,1A01,No candidate,,
2000-11-07,1A02,Nelson,Josephine L.,
2000-11-07,1A03,McIntire,Elizabeth,
2002-11-05,1A01,Arguelles,Jacqueline C.,
2002-11-05,1A02,Nance,Angela S.,
2002-11-05,1A03,Gonzalez,Victor H.,
2004-11-02,1A01,Arguelles,Jacqueline C.,
2004-11-02,1A02,Woodland,Calvin B.,Jr
2004-11-02,1A03,Hogan,Alexander,
2006-11-07,1A01,Arguelles,Jacqueline C.,
2006-11-07,1A02,Woodland,Calvin B.,Jr
2006-11-07,1A03,Hogan,Alexander,
2008-11-04,1A01,Kralovic,Lisa,
2008-11-04,1A02,Woodland,Calvin B.,Jr
2008-11-04,1A03,Morales,Luis A.,
2010-11-02,1A01,Kralovic,Lisa,
2010-11-02,1A02,Wright-Smith,Vickey A.,
2010-11-02,1A03,Scott,Sheldon,
2012-11-06,1A01,Kralovic,Lisa,
2012-11-06,1A02,Wright-Smith,Vickey A.,
2012-11-06,1A03,Swank,Steve,
1979-11-06,1A04,Evans-McNeill,Elona,
1979-11-06,1A05,No candidate,,
1979-11-06,1A06,No candidate,,
1981-11-03,1A04,Evans-McNeill,Elona,
1981-11-03,1A05,No candidate,,
1981-11-03,1A06,Smith,Marietta,
1984-11-06,1A04,Mosley,Oscar,
1984-11-06,1A05,Smith,Marietta,
1984-11-06,1A06,No candidate,,
1986-11-04,1A04,No candidate,,
1986-11-04,1A05,Smith,Marietta,
1986-11-04,1A06,Patterson,Leonard,
1988-11-08,1A04,Graye,Eric B.,
1988-11-08,1A05,Miller,Tedd,
1988-11-08,1A06,Williams,Shelore C.,
1990-11-06,1A04,James,Mack A.,
1990-11-06,1A05,Miller,Tedd,
1990-11-06,1A06,Williams,Shelore C.,
1992-11-03,1A04,James,Mack A.,
1992-11-03,1A05,Gillison,Joan Mayes,
1992-11-03,1A06,Williams,Shelore C.,
1994-11-08,1A04,James,Mack A.,
1994-11-08,1A05,Gillison,Joan Mayes,
1994-11-08,1A06,Williams,Shelore C.,
1996-11-05,1A04,James,Mack A.,
1996-11-05,1A05,No candidate,,
1996-11-05,1A06,Kelly,Leonard J.,
1998-11-03,1A04,James,Mack A.,
1998-11-03,1A05,Hudgins-Jordan,Eleanor,
1998-11-03,1A06,Sigwalt,Valerie,
2000-11-07,1A04,James,Mack A.,
2000-11-07,1A05,Dean,Ken,
2000-11-07,1A06,Heard,Eric,
2002-11-05,1A04,James,Mack A.,
2002-11-05,1A05,McIntire,Elizabeth,
2002-11-05,1A06,Moheyer,Jenna J.,
2004-11-02,1A04,James,Mack A.,
2004-11-02,1A05,Theisen,Anne,
2004-11-02,1A06,Moheyer,Jenna J.,
2006-11-07,1A04,Pair,Betty,
2006-11-07,1A05,Theisen,Anne,
2006-11-07,1A06,Johnson,Samuel,
2008-11-04,1A04,Pair,Betty,
2008-11-04,1A05,Jordan,William H.,
2008-11-04,1A06,Johnson,Sam,
2010-11-02,1A04,Pair,Betty,
2010-11-02,1A05,Aquiline,Laina,
2010-11-02,1A06,Brown,William,Jr
2012-11-06,1A04,Aquiline,Laina,
2012-11-06,1A05,Holmes,Kevin,
2012-11-06,1A06,Flynn,Patrick W.,
1979-11-06,1A07,No candidate,,
1979-11-06,1A08,Cooper,Jerry S.,
1979-11-06,1A09,No candidate,,
1981-11-03,1A07,No candidate,,
1981-11-03,1A08,No candidate,,
1981-11-03,1A09,No candidate,,
1984-11-06,1A07,Dasent,Omar,
1984-11-06,1A08,Bethea,Monroe A.,
1984-11-06,1A09,Moore,Clarence (Buddy),
1986-11-04,1A07,Jones,Lewis A.,Sr
1986-11-04,1A08,Bethea,Monroe A.,
1986-11-04,1A09,No candidate,,
1988-11-08,1A07,Frost,Dexter,
1988-11-08,1A08,Bethea,Monroe A.,
1988-11-08,1A09,Martin,Jeanette C.,
1990-11-06,1A07,Kerr,John,
1990-11-06,1A08,Peasant,Benjamin,
1990-11-06,1A09,Clary,Chandler R.,
1992-11-03,1A07,Wheeler,Beverley R.,
1992-11-03,1A08,Bowman,Anna A.,
1992-11-03,1A09,Whitfield,Marie,
1994-11-08,1A07,Maultsby,Reginald,
1994-11-08,1A08,Bowman,Anna A.,
1994-11-08,1A09,Whitfield,Marie,
1996-11-05,1A07,Maultsby,Reginald,
1996-11-05,1A08,Bowman,Anna A.,
1996-11-05,1A09,Whitfield,Marie,
1998-11-03,1A07,Nyarku,John K.A.,
1998-11-03,1A08,Davis,Phyllis E.,
1998-11-03,1A09,Whitfield,Marie,
2000-11-07,1A07,Thomas,John D.,Jr
2000-11-07,1A08,Upchurch,Regina,
2000-11-07,1A09,Whitfield,Marie,
2002-11-05,1A07,Boyd,Janie,
2002-11-05,1A08,Matiella,Charles E.,
2002-11-05,1A09,Whitfield,Marie,
2004-11-02,1A07,Muhammad,Ali,
2004-11-02,1A08,Richardson,Janisha N.,
2004-11-02,1A09,Eady,Lisa,
2006-11-07,1A07,Ray,Larry E.,
2006-11-07,1A08,Richardson,Janisha N.,
2006-11-07,1A09,Gonzalez,Donny,
2008-11-04,1A07,Ray,Larry E.,
2008-11-04,1A08,Valenti,Cliff,
2008-11-04,1A09,Thomas,LaKeisha G.,
2010-11-02,1A07,Boisvert,Thomas,
2010-11-02,1A08,Boese,Kent,
2010-11-02,1A09,Holmes,Bobby,
2012-11-06,1A07,Boisvert,Thomas,
2012-11-06,1A08,Boese,Kent C.,
2012-11-06,1A09,Holmes,Bobby,
1979-11-06,1A10,No candidate,,
1979-11-06,1A11,Bethea,Monroe A.,
1979-11-06,1A12,Jordan,Absalom F.,Sr
1981-11-03,1A10,No candidate,,
1981-11-03,1A11,No candidate,,
1981-11-03,1A12,No candidate,,
1984-11-06,1A10,No candidate,,
1984-11-06,1A11,No candidate,,
1984-11-06,1A12,No candidate,,
1986-11-04,1A10,Foster,Rosalie,
1986-11-04,1A11,No candidate,,
1986-11-04,1A12,No candidate,,
1988-11-08,1A10,Foster,Rosalie,
1988-11-08,1A11,No candidate,,
1988-11-08,1A12,No candidate,,
1990-11-06,1A10,Foster,Rosalie,
1990-11-06,1A11,No candidate,,
1990-11-06,1A12,No candidate,,
1992-11-03,1A10,Johnson,Lenwood,
1994-11-08,1A10,Johnson,Lenwood,
1996-11-05,1A10,Perez,Julio M.,
1998-11-03,1A10,Johnson,Lenwood,
2000-11-07,1A10,Johnson,Lenwood,
2000-11-07,1A11,No candidate,,
2002-11-05,1A10,Johnson,Lenwood,
2002-11-05,1A11,Suesbury-McDowell,Evette,
2004-11-02,1A10,Johnson,Lenwood,
2004-11-02,1A11,No candidate,,
2006-11-07,1A10,Johnson,Lenwood,
2006-11-07,1A11,Wade,Dottie Love,
2008-11-04,1A10,Johnson,Lenwood,
2008-11-04,1A11,Wade,Dottie Love,
2010-11-02,1A10,Johnson,Lenwood,
2010-11-02,1A11,No candidate,,
2012-11-06,1A10,Cimino,Anthony,
2012-11-06,1A11,Wade,Dotti Love,
2012-11-06,1A12,Gilliam,Rosalind M.,
1979-11-06,1B01,Shaham,E. Kathleen,
1979-11-06,1B02,No candidate,,
1979-11-06,1B03,Jorgens,Joseph,III
1981-11-03,1B01,No candidate,,
1981-11-03,1B02,No candidate,,
1981-11-03,1B03,Mayes,Stanley J.,
1984-11-06,1B01,Davis,Jerome J.,
1984-11-06,1B02,Mayes,Stanley J.,
1984-11-06,1B03,Smith,Patricia A.,
1986-11-04,1B01,Davis,Jerome J.,
1986-11-04,1B02,Mayes,Stanley J.,
1986-11-04,1B03,Smith,Patricia A.,
1988-11-08,1B01,Hunter,Deairich R.,
1988-11-08,1B02,Mayes,Stanley J.,
1988-11-08,1B03,Fitzgerald,"M.A. ""Doll""",
1990-11-06,1B01,Martin,Muriel L.,
1990-11-06,1B02,Mayes,Stanley J.,
1990-11-06,1B03,Fitzgerald,"M.A. ""Doll""",
1992-11-03,1B01,Coumaris,Tom,
1992-11-03,1B02,Wood,W. Norman,Jr
1992-11-03,1B03,Fitzgerald,"M.A. ""Doll""",
1994-11-08,1B01,Coumaris,Tom,
1994-11-08,1B02,Wood,W. Norman,Jr
1994-11-08,1B03,Fitzgerald,"M.A. ""Doll""",
1996-11-05,1B01,Coumaris,Tom,
1996-11-05,1B02,Melcher,Glenn L.,
1996-11-05,1B03,Fitzgerald,"M.A. ""Doll""",
1998-11-03,1B01,Coumaris,Tom,
1998-11-03,1B02,Melcher,Glenn L.,
1998-11-03,1B03,Fitzgerald,"M.A. ""Doll""",
2000-11-07,1B01,Wilson,Alex,
2000-11-07,1B02,Melcher,Glenn L.,
2000-11-07,1B03,Fitzgerald,"M.A. ""Doll""",
2002-11-05,1B01,Guyot,Lawrency T.,Jr
2002-11-05,1B02,Spalding,Philip C.,
2002-11-05,1B03,Hammonds,Catherine,
2004-11-02,1B01,Moss,Myla,
2004-11-02,1B02,Spalding,Philip C.,
2004-11-02,1B03,Hammonds,Catherine,
2006-11-07,1B01,Moss,Myla,
2006-11-07,1B02,Spalding,Philip C.,
2006-11-07,1B03,Hammonds,Catherine,
2008-11-04,1B01,Moss,Myla,
2008-11-04,1B02,Raia,Peter John,Sr
2008-11-04,1B03,Muhammad,Sedrick,
2010-11-02,1B01,Moss,Myla,
2010-11-02,1B02,Spencer,Aaron,
2010-11-02,1B03,Muhammad,Sedrick,
2012-11-06,1B01,Morgan,Marc,
2012-11-06,1B02,Leffler,Jeremy C.,
2012-11-06,1B03,Muhammad,Sedrick,
1979-11-06,1B04,No candidate,,
1979-11-06,1B05,Saleem,Anwar S.,
1979-11-06,1B06,No candidate,,
1981-11-03,1B04,Frazier-Cromwell,Edna,
1981-11-03,1B05,Saleem,Anwar S.,
1981-11-03,1B06,Parker,David R.,
1984-11-06,1B04,Wood,Norman,
1984-11-06,1B05,Parker,David R.,
1984-11-06,1B06,Brown,Theresa F.,
1986-11-04,1B04,Wood,W. Norman,Jr
1986-11-04,1B05,Parker,David R.,
1986-11-04,1B06,Brown,Theresa F.,
1988-11-08,1B04,Wood,W. Norman,Jr
1988-11-08,1B05,Guyot,Lawrence T.,Jr
1988-11-08,1B06,Brown,Theresa F.,
1990-11-06,1B04,Wood,W. Norman,Jr
1990-11-06,1B05,Guyot,Lawrence T.,Jr
1990-11-06,1B06,Brown,Theresa F.,
1992-11-03,1B04,Guyot,Lawrence T.,Jr
1992-11-03,1B05,Jackson,Lamar,
1992-11-03,1B06,Pearsall,Seretha R.,
1994-11-08,1B04,Guyot,Lawrence T.,Jr
1994-11-08,1B05,No candidate,,
1994-11-08,1B06,Pearsall,Seretha R.,
1996-11-05,1B04,Guyot,Lawrence T.,Jr
1996-11-05,1B05,Eames,Nik,
1996-11-05,1B06,Hutto,Jonathan,
1998-11-03,1B04,Guyot,Lawrence T.,Jr
1998-11-03,1B05,Eames,Nik,
1998-11-03,1B06,Skinner,"Sinclair ""Nupe""",
2000-11-07,1B04,Guyot,Lawrence T.,Jr
2000-11-07,1B05,Eames,Nik,
2000-11-07,1B06,Skinner,"Sinclair ""Nupe""",
2002-11-05,1B04,Thomas,Deborah R.,
2002-11-05,1B05,Houston,Jarvis,
2002-11-05,1B06,Butler,"Theodore ""Ted""",
2004-11-02,1B04,Hunter,Dee,
2004-11-02,1B05,Smith,Mike,
2004-11-02,1B06,Stephens,Timothy J.,
2006-11-07,1B04,Hunter,Dee,
2006-11-07,1B05,Nadeau,Brianne K.,
2006-11-07,1B06,Conklin,Meghan,
2008-11-04,1B04,Thomas,Deborah R.,
2008-11-04,1B05,Nadeau,Brianne K.,
2008-11-04,1B06,Conklin,Meghan,
2010-11-02,1B04,Thomas,Deborah R.,
2010-11-02,1B05,Streett,Mary M.,
2010-11-02,1B06,Meisch,Charles,
2012-11-06,1B04,Thomas,Deborah R.,
2012-11-06,1B05,Reinoso,Ricardo A.,
2012-11-06,1B06,Forester,Dyana,
1979-11-06,1B07,Brown,Theresa F.,
1979-11-06,1B08,No candidate,,
1979-11-06,1B09,Tymus,Lillian,
1981-11-03,1B07,Brown,Theresa F.,
1981-11-03,1B08,No candidate,,
1981-11-03,1B09,Tymus,Lillian,
1984-11-06,1B07,Robinson,Carl,
1984-11-06,1B08,Jones,Darren Richard,
1984-11-06,1B09,Smith,James Roy,Sr
1986-11-04,1B07,Benoit,Mike,
1986-11-04,1B08,Jones,Darren Richard,
1986-11-04,1B09,Smith,James Roy,Sr
1988-11-08,1B07,Collier,Milton W.,
1988-11-08,1B08,Taylor,Barbara Manget,
1988-11-08,1B09,Stewart-Thompson,Phyllis,
1990-11-06,1B07,Marsh,Juliett,
1990-11-06,1B08,Robinson,Carl,
1990-11-06,1B09,Stewart-Thompson,Phyllis,
1992-11-03,1B07,Bennett,Anne G.,
1992-11-03,1B08,Stewart-Thompson,Phyllis,
1992-11-03,1B09,Hammonds,Catherine,
1994-11-08,1B07,Bennett,Anne G.,
1994-11-08,1B08,Hobbs,Byron A.,
1994-11-08,1B09,Hammonds,Catherine,
1996-11-05,1B07,Gray,Jan,
1996-11-05,1B08,Imhoff,Gary,
1996-11-05,1B09,Hammonds,Catherine,
1998-11-03,1B07,Glover,Charles E.,
1998-11-03,1B08,Imhoff,Gary,
1998-11-03,1B09,Hammonds,Catherine,
2000-11-07,1B07,Glover,Charles E.,
2000-11-07,1B08,Woodland,Calvin B.,Jr
2000-11-07,1B09,Hammonds,Catherine,
2002-11-05,1B07,Wilson,Sertira A.,
2002-11-05,1B08,Glover,Charles E.,
2002-11-05,1B09,Skinner,"Sinclair ""Nupe""",
2004-11-02,1B07,Parker,Lori,
2004-11-02,1B08,Akinmboni,Rosemary T.,
2004-11-02,1B09,Smith,Thomas K.D.,
2006-11-07,1B07,Wright,Zachary,
2006-11-07,1B08,Akinmboni,Rosemary,
2006-11-07,1B09,Smith,Thomas K.D.,
2008-11-04,1B07,Lopez,Juan E.,
2008-11-04,1B08,Akinmboni,Rosemary,
2008-11-04,1B09,Smith,Thomas K. D.,
